State,District,Market,Commodity,Variety,Arrival_Date,Min Price,Max Price,Modal Price
Bihar,Vaishali,"Parsoniya Mandi, Mahua block",Cauliflower,African Sarson,03/09/2022,3600,3800,3700
Bihar,Vaishali,"Parsoniya Mandi, Mahua block",Cucumbar(Kheera),Cucumbar,03/09/2022,4000,4400,4200
Bihar,Vaishali,"Parsoniya Mandi, Mahua block",Onion,1st Sort,03/09/2022,1200,1300,1250
Bihar,Vaishali,"Parsoniya Mandi, Mahua block",Pointed gourd (Parval),Other,03/09/2022,2600,2800,2700
Bihar,Vaishali,"Parsoniya Mandi, Mahua block",Potato,(Red Nanital),03/09/2022,1350,1450,1400
Bihar,Vaishali,"Parsoniya Mandi, Mahua block",Raddish,Other,03/09/2022,2200,2400,2300
Bihar,Vaishali,"Parsoniya Mandi, Mahua block",Sponge gourd,Other,03/09/2022,1000,1200,1100
Bihar,Vaishali,"Parsoniya Mandi, Mahua block",Tomato,Deshi,03/09/2022,2500,2700,2600
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Apple,Apple,03/09/2022,3000,10000,6500
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Bottle gourd,Other,03/09/2022,800,1500,1150
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cauliflower,Other,03/09/2022,2000,3500,2750
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cucumbar(Kheera),Other,03/09/2022,2000,3000,2500
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Ginger(Green),Other,03/09/2022,2000,3000,2500
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Green Chilli,Other,03/09/2022,2000,4000,3000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Lemon,Other,03/09/2022,3000,6000,4500
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Mousambi(Sweet Lime),Other,03/09/2022,3000,4500,3750
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,03/09/2022,800,1400,1100
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Peas Wet,Other,03/09/2022,5000,9000,7000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Pomegranate,Other,03/09/2022,5000,12000,8500
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,03/09/2022,600,1800,1200
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Pumpkin,Other,03/09/2022,1000,1500,1250
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,03/09/2022,1200,3200,2200
Chattisgarh,Balrampur,Ramanujganj,Mahua,Mahua,03/09/2022,3000,3000,3000
Chattisgarh,Bastar,Bastar,Paddy(Dhan)(Common),Paddy Coarse,03/09/2022,1250,1350,1300
Chattisgarh,Bastar,Devda,Paddy(Dhan)(Common),Paddy Coarse,03/09/2022,1250,1350,1300
Chattisgarh,Bastar,Jagdalpur,Dry Chillies,Dry,03/09/2022,6000,6000,6000
Chattisgarh,Bastar,Jaitgiri,Paddy(Dhan)(Common),Paddy Coarse,03/09/2022,1250,1350,1300
Chattisgarh,Bastar,Karpawand,Paddy(Dhan)(Common),Paddy Coarse,03/09/2022,1250,1350,1300
Chattisgarh,Bastar,Lohandiguda,Paddy(Dhan)(Common),Paddy Coarse,03/09/2022,1250,1350,1300
Chattisgarh,Bastar,Muli,Paddy(Dhan)(Common),Paddy Coarse,03/09/2022,1250,1350,1300
Chattisgarh,Bastar,Tokapal,Paddy(Dhan)(Common),Paddy Coarse,03/09/2022,1250,1350,1300
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,03/09/2022,8900,9500,9300
Chattisgarh,Bilaspur,Tiphra,Banana,Banana - Ripe,03/09/2022,3200,3500,3400
Chattisgarh,Bilaspur,Tiphra,Beetroot,Beetroot,03/09/2022,4000,4200,4100
Chattisgarh,Bilaspur,Tiphra,Bhindi(Ladies Finger),Bhindi,03/09/2022,2300,2500,2400
Chattisgarh,Bilaspur,Tiphra,Bitter gourd,Bitter Gourd,03/09/2022,2900,3100,3000
